Score,Freedom to make life choices
7.632,0.681
7.594,0.686
7.555,0.683
7.495,0.677
7.487,0.66
7.441,0.638
7.328,0.653
7.324,0.669
7.314,0.659
7.272,0.647
7.19,0.464
7.139,0.617
7.072,0.632
6.977,0.614
6.965,0.586
6.927,0.583
6.91,0.632
6.886,0.547
6.814,0.533
6.774,0.284
6.711,0.543
6.627,0.645
6.489,0.52
6.488,0.479
6.476,0.431
6.441,0.418
6.43,0.597
6.419,0.493
6.388,0.57
6.382,0.604
6.379,0.625
6.374,0.654
6.371,0.509
6.343,0.631
6.322,0.356
6.31,0.449
6.26,0.531
6.192,0.575
6.173,0.354
6.167,0.461
6.141,0.527
6.123,0.546
6.105,0.594
6.096,0.724
6.083,0.554
6.072,0.637
6,0.281
5.973,0.556
5.956,0.593
5.952,0.35
5.948,0.633
5.945,0.528
5.933,0.363
5.915,0.553
5.891,0.584
5.89,0.575
5.875,0.244
5.835,0.495
5.81,0.399
5.79,0.454
5.762,0.423
5.752,0.606
5.739,0.553
5.681,0.541
5.663,0.53
5.662,0.448
5.64,0.232
5.636,0.417
5.62,0.259
5.566,0.496
5.524,0.643
5.504,0.459
5.483,0.307
5.483,0.324
5.472,0.334
5.43,0.524
5.41,0.562
5.398,0.288
5.358,0.131
5.358,0.503
5.347,0.259
5.321,0.38
5.302,0.578
5.295,0.077
5.254,0.46
5.246,0.597
5.201,0.43
5.199,0.292
5.185,0.394
5.161,0.468
5.155,0.462
5.131,0.54
5.129,0.28
5.125,0.395
5.103,0.618
5.093,0.538
5.082,0.541
4.982,0.674
4.975,0.454
4.933,0.359
4.88,0.526
4.806,0.133
4.758,0.356
4.743,0.266
4.724,0.516
4.707,0.459
4.671,0.467
4.657,0.499
4.631,0.406
4.623,0.626
4.592,0.271
4.586,0.419
4.571,0.355
4.559,0.514
4.5,0.58
4.471,0.585
4.456,0.304
4.447,0.367
4.441,0.519
4.433,0.696
4.424,0.312
4.419,0.312
4.417,0.531
4.41,0.504
4.377,0.503
4.356,0.129
4.35,0.452
4.34,0.375
4.321,0.26
4.308,0.58
4.301,0.189
4.245,0.312
4.19,0.539
4.166,0.39
4.161,0.45
4.141,0.44
4.139,0.016
4.103,0.163
3.999,0.434
3.964,0.394
3.808,0.423
3.795,0
3.774,0.221
3.692,0.406
3.632,0.085
3.59,0.557
3.587,0.531
3.582,0.025
3.495,0.419
3.462,0.088
3.408,0.636
3.355,0.244
3.303,0.481
3.254,0.112
3.083,0.305
2.905,0.065
